search_engine,combination_method,mean_trustworthiness,std_trustworthiness,n_datasets
comet,geometric_mean,0.6353779733920175,0.03410571191904945,5
comet,msblender,0.8051278943683104,0.0512296861110185,5
comet,voting,0.7888668080424128,0.015446654512170869,5
msgf,geometric_mean,0.5672710541402879,0.023483787301935306,5
msgf,msblender,0.6987035177674984,0.06650952057406824,5
msgf,voting,0.7090817562199192,0.02454862435105568,5
tandem,geometric_mean,0.6039920960350053,0.0382181580977295,5
tandem,msblender,0.7661276402523371,0.03414122100728589,5
tandem,voting,0.7777740436273544,0.01843851216944362,5
